[2020-09-10 11:27:58,828][SpringContextShutdownHook][INFO][org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:598] Closing JPA EntityManagerFactory for persistence unit 'default'
[2020-09-10 11:27:58,833][SpringContextShutdownHook][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:218] Shutting down ExecutorService 'taskExecutor'
[2020-09-10 11:27:58,834][SpringContextShutdownHook][INFO][com.zaxxer.hikari.HikariDataSource:350] HikariPool-1 - Shutdown initiated...
[2020-09-10 11:27:58,853][SpringContextShutdownHook][INFO][com.zaxxer.hikari.HikariDataSource:352] HikariPool-1 - Shutdown completed.
[2020-09-10 11:31:39,244][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:651] No active profile set, falling back to default profiles: default
[2020-09-10 11:31:40,683][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:127] Bootstrapping Spring Data JPA repositories in DEFERRED mode.
[2020-09-10 11:31:40,900][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:187] Finished Spring Data repository scanning in 194ms. Found 1 JPA repository interfaces.
[2020-09-10 11:31:41,557][main][INFO][org.springframework.cloud.context.scope.GenericScope:295] BeanFactory id=0f28e386-029a-3fd0-ba5d-6428c2ae0280
[2020-09-10 11:31:42,234][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181] Initializing ExecutorService
[2020-09-10 11:31:42,256][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181] Initializing ExecutorService 'taskExecutor'
[2020-09-10 11:31:42,510][sc-thread-async-1][INFO][org.hibernate.Version:44] HHH000412: Hibernate ORM core version 5.4.20.Final
[2020-09-10 11:31:42,736][sc-thread-async-1][INFO][org.hibernate.annotations.common.Version:49] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[2020-09-10 11:31:42,970][sc-thread-async-1][INFO][com.zaxxer.hikari.HikariDataSource:110] HikariPool-1 - Starting...
[2020-09-10 11:31:43,674][sc-thread-async-1][INFO][com.zaxxer.hikari.HikariDataSource:123] HikariPool-1 - Start completed.
[2020-09-10 11:31:43,712][sc-thread-async-1][INFO][org.hibernate.dialect.Dialect:170] HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
[2020-09-10 11:31:45,176][sc-thread-async-1][INFO][org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:52] HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2020-09-10 11:31:45,191][sc-thread-async-1][INFO][org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:416] Initialized JPA EntityManagerFactory for persistence unit 'default'
[2020-09-10 11:31:46,403][main][WARN][org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration:220] spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2020-09-10 11:31:47,194][main][INFO][springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping:69] Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
[2020-09-10 11:31:48,563][main][INFO][springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper:160] Context refreshed
